SchemaName,TableName,column_id,ColumnName,DataType,max_length,precision,scale,is_nullable,is_identity,is_computed,DefaultDefinition
----------,---------,---------,----------,--------,----------,---------,-----,-----------,-----------,-----------,-----------------
aap,AnnualAuditorAllocation,1,AnnualAuditorAllocationId,int,4,10,0,0,1,0,NULL
aap,AnnualAuditorAllocation,2,AnnualAuditResourceAllocationId,int,4,10,0,1,0,0,NULL
aap,AnnualAuditorAllocation,3,AssignManagerId,int,4,10,0,1,0,0,NULL
aap,AnnualAuditorAllocation,4,AnnualAuditPlanId,int,4,10,0,1,0,0,NULL
aap,AnnualAuditorAllocation,5,ProgrammeGroupId,int,4,10,0,1,0,0,NULL
aap,AnnualAuditorAllocation,6,ProgrammeId,int,4,10,0,1,0,0,NULL
aap,AnnualAuditorAllocation,7,SubProgrammeId,int,4,10,0,1,0,0,NULL
aap,AnnualAuditorAllocation,8,ProjectId,int,4,10,0,1,0,0,NULL
aap,AnnualAuditorAllocation,9,ProjectName,nvarchar,300,0,0,1,0,0,NULL
aap,AnnualAuditorAllocation,10,ZoneId,int,4,10,0,1,0,0,NULL
aap,AnnualAuditorAllocation,11,ZoneName,nvarchar,300,0,0,1,0,0,NULL
aap,AnnualAuditorAllocation,12,AuditTypeId,int,4,10,0,1,0,0,NULL
aap,AnnualAuditorAllocation,13,AuditTypeName,nvarchar,300,0,0,1,0,0,NULL
aap,AnnualAuditorAllocation,14,ReportTypeId,int,4,10,0,1,0,0,NULL
aap,AnnualAuditorAllocation,15,ReportTypeName,nvarchar,300,0,0,1,0,0,NULL
aap,AnnualAuditorAllocation,16,RiskTypeId,int,4,10,0,1,0,0,NULL
aap,AnnualAuditorAllocation,17,RiskTypeName,nvarchar,300,0,0,1,0,0,NULL
aap,AnnualAuditorAllocation,18,RiskTypeCode,nvarchar,300,0,0,1,0,0,NULL
aap,AnnualAuditorAllocation,19,ColorCode,nvarchar,300,0,0,1,0,0,NULL
aap,AnnualAuditorAllocation,20,AuditorSpot,int,4,10,0,1,0,0,NULL
aap,AnnualAuditorAllocation,21,AllocatedSpot,int,4,10,0,1,0,0,NULL
aap,AnnualAuditorAllocation,22,YearMandays,int,4,10,0,1,0,0,NULL
aap,AnnualAuditorAllocation,23,DoneSpot,int,4,10,0,1,0,0,NULL
aap,AnnualAuditorAllocation,24,LeftSpot,int,4,10,0,1,0,0,NULL
aap,AnnualAuditorAllocation,25,AppUserId,int,4,10,0,1,0,0,NULL
aap,AnnualAuditorAllocation,26,AuditorPin,nvarchar,300,0,0,1,0,0,NULL
aap,AnnualAuditorAllocation,27,AuditorName,nvarchar,300,0,0,1,0,0,NULL
aap,AnnualAuditorAllocation,28,AuditPlanYear,int,4,10,0,1,0,0,NULL
aap,AnnualAuditorAllocation,29,CreatedDate,datetime,8,23,3,1,0,0,NULL
aap,AnnualAuditorAllocation,30,IsDeleted,bit,1,1,0,1,0,0,((0))
aap,AnnualAuditorAllocation,31,ZoneDisplayOrder,int,4,10,0,1,0,0,NULL
aap,AnnualAuditPlan,1,AnnualAuditPlanId,int,4,10,0,0,1,0,NULL
aap,AnnualAuditPlan,2,AnnualAuditPlanYear,int,4,10,0,0,0,0,NULL
aap,AnnualAuditPlan,3,AuditPlanYears,varchar,15,0,0,1,0,0,NULL
aap,AnnualAuditPlan,4,AuditPlanFromDate,datetime,8,23,3,1,0,0,NULL
aap,AnnualAuditPlan,5,AuditPlanToDate,datetime,8,23,3,1,0,0,NULL
aap,AnnualAuditPlan,6,IsCurrent,bit,1,1,0,0,0,0,((0))
aap,AnnualAuditPlan,7,AnnualAuditPlanName,varchar,-1,0,0,1,0,0,NULL
aap,AnnualAuditPlan,8,ParentAnnualAuditPlanId,int,4,10,0,1,0,0,NULL
aap,AnnualAuditPlan,9,VersionCode,varchar,50,0,0,1,0,0,NULL
aap,AnnualAuditPlan,10,AnnualAuditPlanVersion,int,4,10,0,1,0,0,NULL
aap,AnnualAuditPlan,11,AnnualAuditPlanStageId,int,4,10,0,1,0,0,NULL
aap,AnnualAuditPlan,12,AssigneeName,nvarchar,500,0,0,1,0,0,NULL
aap,AnnualAuditPlan,13,AssigneePin,nvarchar,100,0,0,1,0,0,NULL
aap,AnnualAuditPlan,14,IsActive,bit,1,1,0,0,0,0,NULL
aap,AnnualAuditPlan,15,AuditPlannerId,int,4,10,0,1,0,0,NULL
aap,AnnualAuditPlan,16,RecommandedBy,int,4,10,0,1,0,0,NULL
aap,AnnualAuditPlan,17,RecommandedDate,datetime,8,23,3,1,0,0,NULL
aap,AnnualAuditPlan,18,ApprovedBy,int,4,10,0,1,0,0,NULL
aap,AnnualAuditPlan,19,ApprovedDate,datetime,8,23,3,1,0,0,NULL
aap,AnnualAuditPlan,20,CreatedBy,int,4,10,0,1,0,0,NULL
aap,AnnualAuditPlan,21,CreatedDate,datetime,8,23,3,1,0,0,NULL
aap,AnnualAuditPlan,22,UpdatedBy,int,4,10,0,1,0,0,NULL
aap,AnnualAuditPlan,23,UpdatedDate,datetime,8,23,3,1,0,0,NULL
aap,AnnualAuditPlan,24,IsDeleted,bit,1,1,0,1,0,0,NULL
aap,AnnualAuditPlan,25,DeletedBy,int,4,10,0,1,0,0,NULL
aap,AnnualAuditPlan,26,DeletedDate,datetime,8,23,3,1,0,0,NULL
aap,AnnualAuditPlan,27,DeleteReason,nvarchar,1000,0,0,1,0,0,NULL
aap,AnnualAuditPlan,28,AuditPlanStatusId,int,4,10,0,1,0,0,NULL
aap,AnnualAuditPlan,29,WorkflowProcessDetailId,int,4,10,0,1,0,0,NULL
aap,AnnualAuditPlanCapacity,1,AnnualAuditPlanCapacityId,int,4,10,0,0,1,0,NULL
aap,AnnualAuditPlanCapacity,2,AnnualAuditPlanId,int,4,10,0,0,0,0,NULL
aap,AnnualAuditPlanCapacity,3,FieldVisitResource,int,4,10,0,1,0,0,NULL
aap,AnnualAuditPlanCapacity,4,FieldVisitPersonDay,int,4,10,0,1,0,0,NULL
aap,AnnualAuditPlanCapacity,5,FieldVisitPercent,int,4,10,0,1,0,0,NULL
aap,AnnualAuditPlanCapacity,6,ReportWritingResource,int,4,10,0,1,0,0,NULL
aap,AnnualAuditPlanCapacity,7,ReportWritingPersonDay,int,4,10,0,1,0,0,NULL
aap,AnnualAuditPlanCapacity,8,ReportWritingPercent,int,4,10,0,1,0,0,NULL
aap,AnnualAuditPlanCapacity,9,IsActive,bit,1,1,0,1,0,0,NULL
aap,AnnualAuditPlanCapacity,10,CreatedBy,int,4,10,0,1,0,0,NULL
aap,AnnualAuditPlanCapacity,11,CreatedDate,datetime,8,23,3,1,0,0,NULL
aap,AnnualAuditPlanCapacity,12,UpdatedBy,int,4,10,0,1,0,0,NULL
aap,AnnualAuditPlanCapacity,13,UpdatedDate,datetime,8,23,3,1,0,0,NULL
aap,AnnualAuditPlanCapacity,14,IsDeleted,bit,1,1,0,1,0,0,NULL
aap,AnnualAuditPlanCapacity,15,DeletedBy,int,4,10,0,1,0,0,NULL
aap,AnnualAuditPlanCapacity,16,DeletedDate,datetime,8,23,3,1,0,0,NULL
aap,AnnualAuditPlanCapacity,17,DeleteReason,nvarchar,1000,0,0,1,0,0,NULL
aap,AnnualAuditPlanGroup,1,AnnualAuditPlanGroupId,int,4,10,0,0,1,0,NULL
aap,AnnualAuditPlanGroup,2,AnnualAuditPlanId,int,4,10,0,0,0,0,NULL
aap,AnnualAuditPlanGroup,3,ProgrammeGroupId,int,4,10,0,0,0,0,NULL
aap,AnnualAuditPlanGroup,4,CreatedBy,int,4,10,0,1,0,0,NULL
aap,AnnualAuditPlanGroup,5,CreatedDate,datetime,8,23,3,1,0,0,NULL
aap,AnnualAuditPlanGroup,6,UpdatedBy,int,4,10,0,1,0,0,NULL
aap,AnnualAuditPlanGroup,7,UpdatedDate,datetime,8,23,3,1,0,0,NULL
aap,AnnualAuditPlanGroup,8,IsDeleted,bit,1,1,0,1,0,0,NULL
aap,AnnualAuditPlanGroup,9,DeletedBy,int,4,10,0,1,0,0,NULL
aap,AnnualAuditPlanGroup,10,DeletedDate,datetime,8,23,3,1,0,0,NULL
aap,AnnualAuditPlanGroup,11,DeleteReason,nvarchar,1000,0,0,1,0,0,NULL
aap,AnnualAuditPlanGroup,12,AuditPlanStatusId,int,4,10,0,1,0,0,NULL
aap,AnnualAuditPlanGroup,13,WorkflowProcessDetailId,int,4,10,0,1,0,0,NULL
aap,AnnualAuditPlanGroup,14,AnnualAuditPlanStageId,int,4,10,0,1,0,0,NULL
aap,AnnualAuditPlanStage,1,AnnualAuditPlanStageId,int,4,10,0,0,0,0,NULL
aap,AnnualAuditPlanStage,2,AnnualAuditPlanStatusId,int,4,10,0,0,0,0,NULL
aap,AnnualAuditPlanStage,3,StageName,varchar,75,0,0,0,0,0,NULL
aap,AnnualAuditPlanStage,4,IsActive,bit,1,1,0,0,0,0,NULL
aap,AnnualAuditPlanStage,5,IsDeleted,bit,1,1,0,1,0,0,NULL
aap,AnnualAuditPlanStage,6,DeletedBy,int,4,10,0,1,0,0,NULL
aap,AnnualAuditPlanStage,7,DeletedDate,datetime,8,23,3,1,0,0,NULL
aap,AnnualAuditPlanStatus,1,AnnualAuditPlanStatusId,int,4,10,0,0,0,0,NULL
aap,AnnualAuditPlanStatus,2,StatusName,varchar,100,0,0,1,0,0,NULL
aap,AnnualAuditPlanStatus,3,IsActive,bit,1,1,0,1,0,0,NULL
aap,AnnualAuditPlanStatus,4,IsDeleted,bit,1,1,0,1,0,0,NULL
aap,AnnualAuditPlanStatus,5,DeletedBy,int,4,10,0,1,0,0,NULL
aap,AnnualAuditPlanStatus,6,DeletedDate,datetime,8,23,3,1,0,0,NULL
aap,AnnualAuditResourceAllocation,1,AnnualAuditResourceAllocationId,int,4,10,0,0,1,0,NULL
aap,AnnualAuditResourceAllocation,2,AnnualAuditPlanId,int,4,10,0,0,0,0,NULL
aap,AnnualAuditResourceAllocation,3,AuditPlanYear,int,4,10,0,0,0,0,NULL
aap,AnnualAuditResourceAllocation,4,ProgrammeGroupId,int,4,10,0,1,0,0,NULL
aap,AnnualAuditResourceAllocation,5,ProgrammeId,int,4,10,0,1,0,0,NULL
aap,AnnualAuditResourceAllocation,6,SubProgrammeId,int,4,10,0,1,0,0,NULL
aap,AnnualAuditResourceAllocation,7,ProjectId,int,4,10,0,1,0,0,NULL
aap,AnnualAuditResourceAllocation,8,AuditCategoryId,int,4,10,0,1,0,0,NULL
aap,AnnualAuditResourceAllocation,9,AuditTypeId,int,4,10,0,1,0,0,NULL
aap,AnnualAuditResourceAllocation,10,ReportTypeId,int,4,10,0,1,0,0,NULL
aap,AnnualAuditResourceAllocation,11,RiskTypeId,int,4,10,0,1,0,0,NULL
aap,AnnualAuditResourceAllocation,12,ZoneId,int,4,10,0,1,0,0,NULL
