SchemaName,ParentTable,ForeignKeyName,ReferencedSchema,ReferencedTable,ParentColumn,ReferencedColumn,delete_referential_action_desc,update_referential_action_desc
----------,-----------,--------------,----------------,---------------,------------,----------------,------------------------------,------------------------------
aap,AnnualAuditPlanCapacity,FK_AnnualAuditPlanCapacity_AnnualAuditPlan,aap,AnnualAuditPlan,AnnualAuditPlanId,AnnualAuditPlanId,NO_ACTION,NO_ACTION
aap,AnnualAuditPlanGroup,FK_AnnualAuditPlanGroup_ProgrammeGroup1,map,ProgrammeGroup,ProgrammeGroupId,ProgrammeGroupId,NO_ACTION,NO_ACTION
aap,AnnualAuditPlanStage,FK_AnnualAuditPlanStage_AnnualAuditPlanStatus,aap,AnnualAuditPlanStatus,AnnualAuditPlanStatusId,AnnualAuditPlanStatusId,NO_ACTION,NO_ACTION
aap,AnnualAuditTimeAllocationNonRiskBase,FK_AnnualAuditTimeAllocationNonRiskBase_AnnualAuditPlan,aap,AnnualAuditPlan,AnnualAuditPlanId,AnnualAuditPlanId,NO_ACTION,NO_ACTION
aap,AnnualAuditTimeAllocationNonRiskBase,FK_AnnualAuditTimeAllocationNonRiskBase_AuditCategory,std,AuditCategory,AuditCategoryId,AuditCategoryId,NO_ACTION,NO_ACTION
aap,AnnualAuditTimeAllocationNonRiskBase,FK_AnnualAuditTimeAllocationNonRiskBase_AuditType,std,AuditType,AuditTypeId,AuditTypeId,NO_ACTION,NO_ACTION
aap,AnnualAuditTimeAllocationNonRiskBase,FK_AnnualAuditTimeAllocationNonRiskBase_Project,map,Project,ProjectId,ProjectId,NO_ACTION,NO_ACTION
aap,AnnualAuditTimeAllocationNonRiskBase,FK_AnnualAuditTimeAllocationNonRiskBase_RiskType,std,RiskType,RiskTypeId,RiskTypeId,NO_ACTION,NO_ACTION
aap,AnnualAuditTimeAllocationRiskBase,FK_AnnualAuditTimeAllocationRiskBase_AnnualAuditPlan,aap,AnnualAuditPlan,AnnualAuditPlanId,AnnualAuditPlanId,NO_ACTION,NO_ACTION
aap,AnnualAuditTimeAllocationRiskBase,FK_AnnualAuditTimeAllocationRiskBase_AuditCategory,std,AuditCategory,AuditCategoryId,AuditCategoryId,NO_ACTION,NO_ACTION
aap,AnnualAuditTimeAllocationRiskBase,FK_AnnualAuditTimeAllocationRiskBase_AuditType,std,AuditType,AuditTypeId,AuditTypeId,NO_ACTION,NO_ACTION
