SchemaName,TableName,create_date,modify_date
----------,---------,-----------,-----------
aap,AnnualAuditorAllocation,2026-08-11 11:54:21.467,2026-08-11 11:54:23.050
aap,AnnualAuditPlan,2026-07-23 11:47:39.830,2026-08-06 15:52:49.283
aap,AnnualAuditPlanCapacity,2022-01-17 14:14:55.527,2026-07-23 11:47:44.000
aap,AnnualAuditPlanGroup,2022-09-29 18:48:53.740,2023-07-10 16:07:43.293
aap,AnnualAuditPlanStage,2022-01-17 14:24:55.807,2022-01-30 19:38:25.683
aap,AnnualAuditPlanStatus,2022-01-17 14:18:19.530,2022-01-30 19:38:29.690
aap,AnnualAuditResourceAllocation,2026-08-06 16:52:00.847,2026-08-06 16:52:02.043
aap,AnnualAuditTargetNonRiskBase,2026-08-06 16:07:37.970,2026-08-06 16:07:39.030
aap,AnnualAuditTargetRiskBase,2026-08-06 16:03:17.873,2026-08-06 16:03:19.123
aap,AnnualAuditTimeAllocationNonRiskBase,2026-08-06 15:52:46.677,2026-08-06 15:52:49.283
aap,AnnualAuditTimeAllocationRiskBase,2026-08-06 15:44:16.523,2026-08-06 15:44:19.220
aap,AuditCapacityPlan,2021-12-13 15:33:56.523,2023-05-28 15:08:06.787
aap,AuditPlanManager,2023-05-21 16:51:05.053,2023-06-25 16:49:40.900
aap,AuditPlanParameter,2021-11-21 16:50:25.520,2022-01-30 19:38:37.180
aap,AuditPlanStatus,2021-10-18 14:10:53.037,2022-01-30 19:38:40.760
aap,AuditResourceAllocationNonRiskBase,2021-11-07 15:16:43.860,2023-11-19 12:25:02.147
aap,AuditResourceAllocationRiskBase,2021-11-07 15:12:54.477,2023-11-19 12:25:02.210
aap,CurrentResource,2021-08-22 12:09:42.470,2021-09-16 13:07:26.610
adc,ActionPlanFinalStatus,2025-11-09 16:30:32.467,2025-11-09 16:30:32.467
adc,ActionPlanFollowUp,2024-11-24 18:24:35.937,2024-11-24 18:24:36.970
adc,ActionPlanFollowUpChangeType,2024-11-24 18:24:28.167,2024-11-24 18:24:28.167
adc,ActionPlanFollowUpCommentType,2024-11-24 18:24:44.070,2024-11-24 18:24:44.070
adc,ActionPlanFollowUpDetail,2024-11-24 18:24:31.330,2024-11-24 18:24:31.330
adc,ActionPlanFollowUpDetailComment,2024-11-24 18:24:45.123,2024-11-24 18:24:45.123
adc,ActionPlanFollowUpDetailDoc,2024-11-24 18:24:30.093,2024-11-24 18:24:39.687
adc,ActionPlanFollowUpDetailLog,2024-11-24 18:32:34.227,2024-11-24 18:32:35.200
adc,ActionPlanFollowUpDetailOwner,2024-11-24 18:35:13.293,2025-07-21 16:19:48.610
adc,ActionPlanFollowUpDetailOwnerStatus,2024-11-24 18:24:27.167,2024-11-24 18:24:27.167
adc,ActionPlanFollowUpDetailStatus,2024-11-24 18:24:25.110,2024-11-24 18:24:25.110
adc,ActionPlanFollowUpStatus,2024-11-24 18:24:26.203,2024-11-24 18:24:26.203
adc,ActionPlanGeneratedFile,2026-06-21 17:13:01.670,2026-06-21 17:13:02.820
adc,AprAuditPerformanceRatingSetup,2024-05-09 17:03:26.530,2024-05-21 17:52:12.147
adc,AprLikelihood,2024-05-09 16:26:17.087,2024-05-11 17:41:13.150
adc,AprLikelihoodMapping,2024-05-09 17:24:16.503,2024-05-09 17:24:16.503
